comment_id,content_text,created_at,likes
fb_001,"Thị trường hôm nay khá tích cực, VN-Index tăng mạnh!",2024-01-15 09:30:00,15
fb_002,Cổ phiếu ngân hàng đang có xu hướng tăng trở lại.,2024-01-15 10:15:00,8
fb_003,"Nên mua vào lúc này hay chờ thêm? Thị trường biến động khá nhiều.",2024-01-15 11:00:00,23
fb_004,VN30 đã vượt qua ngưỡng kháng cự quan trọng!,2024-01-15 11:45:00,31
fb_005,Dự báo thị trường tuần tới sẽ tiếp tục tích cực.,2024-01-15 14:20:00,12
fb_006,Cần thận trọng với nhóm cổ phiếu bất động sản.,2024-01-15 15:10:00,7
fb_007,"Khối ngoại đang mua ròng mạnh, tín hiệu tích cực!",2024-01-15 16:00:00,45
fb_008,Phiên chiều khả năng sẽ có điều chỉnh nhẹ.,2024-01-15 16:30:00,9
fb_009,"Cổ phiếu công nghệ đang được quan tâm nhiều, đặc biệt là nhóm fintech.",2024-01-15 17:00:00,18
fb_010,Thanh khoản thị trường cải thiện rõ rệt so với tuần trước.,2024-01-15 17:30:00,22
fb_011,"VNINDEX test vùng kháng cự 1250 điểm, cần volume lớn để vượt qua.",2024-01-16 09:00:00,29
fb_012,Nhóm cổ phiếu dầu khí có thể sẽ phục hồi trong tuần này.,2024-01-16 09:45:00,14
fb_013,"Tâm lý nhà đầu tư vẫn khá thận trọng, chưa thực sự lạc quan.",2024-01-16 10:30:00,11
fb_014,VN30-Index đang trong xu hướng tăng ngắn hạn tích cực.,2024-01-16 11:15:00,26
fb_015,"Khối lượng giao dịch cần tăng thêm để xác nhận xu hướng, hiện tại vẫn còn thấp.",2024-01-16 14:00:00,33
fb_016,Cổ phiếu thép có dấu hiệu tích cực khi giá nguyên liệu ổn định.,2024-01-16 14:45:00,19
fb_017,"Thị trường phái sinh F&O khá sôi động, premium tăng cao.",2024-01-16 15:20:00,24
fb_018,Dòng tiền đang chảy vào nhóm cổ phiếu vốn hóa lớn.,2024-01-16 16:10:00,16
fb_019,"Báo cáo tài chính Q4 sắp công bố, có thể tác động mạnh đến thị trường.",2024-01-16 16:50:00,38
fb_020,Kỳ vọng thị trường sẽ có nhịp điều chỉnh kỹ thuật trong tuần tới.,2024-01-16 17:25:00,21
